id,created_at,hashtag,videoID,desc,commentCount,diggCount,playCount,shareCount,downloadAddr,nickname,userid,uniqueId,u_diggCount,u_followingCount,u_heart,u_followerCount,u_heartCount,u_videoCount
571,2022-09-26 19:04:19.905443+00,macron,7037563994982468870,Merci à celui qui a fait ce montage 😂 #president #macron #france #rire #fun #funny #lol #chute #happy #leomtp343 #ahah #ah #mdr,6569,531800,8300000,47200,https://v16-webapp.tiktok.com/85675f601ff110bacd2904ec4ce02a61/633205ca/video/tos/useast2a/tos-useast2a-ve-0068c001/7ac16f6315b44d3aa0f66509fcc7b879/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=924&bt=462&cs=0&ds=3&ft=eXd.6H-qMyq8ZAdyEhe2NuCoyl7Gb&mime_type=video_mp4&qs=0&rc=ZGg3PGQ8PGlmZTQ0OTc2ZkBpam52NzY6ZnY6OTMzNzczM0A2Y140MjMtNS4xMzMxLzMyYSNhNm5ocjRfMmlgLS1kMTZzcw%3D%3D&l=202209261904190102171352310C3C616F&btag=80000,Léo Britto,6909096218455917573,leomtp343,539,24,547600,24100,547600,25
572,2022-09-26 19:04:21.223678+00,macron,7127337765498326278,Macron visit Polynesia 🤣 #macron #france #polynesian #flowers #funny #president #visit #wtf #cringe,4765,524700,7900000,34900,https://v16-webapp.tiktok.com/0273900679073982c3ff50f2f9297975/633205cc/video/tos/useast2a/tos-useast2a-pve-0068/05e037a88f2c484cb45b30e963653683/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1186&bt=593&cs=0&ds=3&ft=eXd.6H-qMyq8Z4dyEhe2NU2eyl7Gb&mime_type=video_mp4&qs=0&rc=NGZlZTU0O2Q8PDxnZDY8NkBpM3Rqcjo6ZmpwZTMzNzczM0AuLV8xLTEuNl8xYi1hMTM2YSNkL29wcjRvMWhgLS1kMTZzcw%3D%3D&l=202209261904200102140290250D3CA099&btag=80000,xMilliTV,6520259739538953231,xmillitv,1442,19,525300,7770,525300,10
573,2022-09-26 19:04:22.521422+00,macron,7116044829347433734,#macron #zelenskiy #johnson #putin #🇫🇷 #🇺🇦 #🇬🇧 #🇷🇺,262,496000,9800000,18100,https://v16-webapp.tiktok.com/2a2a98bd2b1062fd0c57a48da266ce00/633205dc/video/tos/useast2a/tos-useast2a-ve-0068c001/a9b1c33bad3140278497e1bf912dffb1/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=418&bt=209&cs=0&ds=3&ft=eXd.6H-qMyq8Z3dyEhe2NIIoyl7Gb&mime_type=video_mp4&qs=0&rc=aTdmODxkO2hlNTdkZjs6M0BpM2tzPGc6ZnVuZTMzNzczM0AyXy5jYzNiNi0xY14xYjMzYSM1LW1rcjRnNC1gLS1kMTZzcw%3D%3D&l=20220926190422010217134202193D3B4D&btag=80000,Хто я?,7102409346142897158,ukr2402_22,67,316,498600,9282,498600,12
574,2022-09-26 19:04:24.413704+00,macron,7072927635772280066,Just like AOC crying at the border #macron #frenchpresident #fakephotoshoot #comedy #politicians #putin #ukraine,3835,488500,2000000,5999,https://v16-webapp.tiktok.com/35109e3ac0bb371577035ed65e788db3/633205d2/video/tos/alisg/tos-alisg-pve-0037/fa128bef8f064b77bfefb9bbf37b901e/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=1684&bt=842&cs=0&ds=3&ft=eXd.6H-qMyq8ZCdyEhe2NZewyl7Gb&mime_type=video_mp4&qs=0&rc=ZjVoOmhnPGY5ZTM0MzNnZUBpMzp1OjQ6Zmw0OzMzODgzNEBgYy1gLi5jNS0xYy80NWFfYSNrZS1ocjRnXmhgLS1kLy1zcw%3D%3D&l=20220926190424010192054161103F1555&btag=80000,Akuzike N. Tinkati,6782897618479285249,akuuu_nawii,23500,81,661200,1066,661200,109
575,2022-09-26 19:04:25.782214+00,macron,7081651555417525510,Le mépris de Macron #Macron #travail #salaire #richesse #pauvreté,17300,470200,8100000,18800,https://v16-webapp.tiktok.com/807ce4175311a68c492884e81d7b0bdf/63320604/video/tos/useast2a/tos-useast2a-pve-0068/9c43d1312ad144d09ce7b8d0333ab6b9/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2048&bt=1024&cs=0&ds=3&ft=eXd.6H-qMyq8Z0dyEhe2NZewyl7Gb&mime_type=video_mp4&qs=0&rc=NWQ0ZmZkZDtkODpmNTU3M0Bpam85djU6ZnRrPDMzNzczM0A2XjZfYDBhNi8xMzViLjMuYSNpLWRgcjRnNDBgLS1kMTZzcw%3D%3D&l=20220926190425010192054161103F160B&btag=80000,Glupatate,6934788968353940486,glupatate,817,65,6400000,140400,6400000,203
576,2022-09-26 19:04:26.946226+00,macron,7143724523425107205,Ce lycéen a ouvert les yeux d’Emmanuel #Macron sur les problèmes d’orientation scolaire… 🧑‍🎓 #M#MacronQ#Quotidienl#lyceeecole,5076,468300,3500000,3307,https://v16-webapp.tiktok.com/26131c23b99d338af849a069a248b5ba/63320613/video/tos/useast2a/tos-useast2a-ve-0068c003/443d4053545d40e89778ea199a64448a/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1446&bt=723&cs=0&ds=3&ft=eXd.6H-qMyq8ZbdyEhe2N7mwyl7Gb&mime_type=video_mp4&qs=0&rc=NTk3ODM7aWQ1ZmhpOjpnNkBpanI0NmU6ZjhzZjMzNzczM0BhXjMyLjU0NWExMDAvNTAvYSNucDYycjQwa2VgLS1kMTZzcw%3D%3D&l=20220926190426010217134202193D3E97&btag=80000,Quotidien,6865272713831121925,qofficiel_tiktok,4,0,13200000,424200,13200000,404
577,2022-09-26 19:04:27.986644+00,macron,7107625057421184262,"En juin, une archive iconique de la politique chaque jour (9/30) #macron #emmanuelmacron #clash #politique #politiquefrancaise",5019,466500,3700000,7002,https://v16-webapp.tiktok.com/1bb9f1949a3b20c078d134dd6bd84404/633205dd/video/tos/useast2a/tos-useast2a-ve-0068c001/a2d6e64e26ec4d3e8bb404465acc3e8c/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2058&bt=1029&cs=0&ds=3&ft=eXd.6H-qMyq8ZpdyEhe2NdJ6yl7Gb&mime_type=video_mp4&qs=0&rc=NDM3aWQ6OWQzOjdoaGhmNkBpM3lxaTs6ZnVvZDMzNzczM0BjMC9fYTJfNTUxYTZhNl5hYSNqaW5mcjRfaWVgLS1kMTZzcw%3D%3D&l=20220926190427010217134202193D3F6A&btag=80000,best_of_politique,6994810297912591365,best_of_politique,3354,1,4900000,104300,4900000,148
578,2022-09-26 19:04:29.079426+00,macron,6819763629190024453,#police #confinement #foryou #fyp #restezchezvous #comedy#macron,3400,435900,4500000,21100,https://v16-webapp.tiktok.com/8af406c9d852265d526c070724729f29/633205d9/video/tos/maliva/tos-maliva-ve-0068c800-us/8dc5475b4f1e4cb1b4461359854acb0e/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3070&bt=1535&cs=0&ds=3&ft=eXd.6H-qMyq8ZEdyEhe2NjPjyl7Gb&mime_type=video_mp4&qs=0&rc=ZjQ6NGU8OWk0Zmc2aWhnZUBpajozNXZ1c21kdDMzPDczM0AzYGA0LjReNTIxM2IxMWA2YSM0Z3AwZmMtaWZfLS02MTZzcw%3D%3D&l=20220926190428010190209084173D0E61&btag=80000,White face,6811573046089696261,the.white.face,1227,129,2600000,211500,2600000,63
579,2022-09-26 19:04:30.523318+00,macron,6965456097939410182,Mbappe X Marseille🥶 #pourtoi #fyp #macron #mbappe #mcfly #carlito,3961,432200,4800000,21200,https://v16-webapp.tiktok.com/72d91798ab9b33f903ede9a0561ff5a7/633205fa/video/tos/useast2a/tos-useast2a-ve-0068c004/7f7f7381c52249ed9e56420abd72acc8/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1592&bt=796&cs=0&ds=3&ft=eXd.6H-qMyq8ZYdyEhe2NCf4yl7Gb&mime_type=video_mp4&qs=0&rc=NztlaDtkOGY3ZDVkaWc1NUBpam1pb2RrZm83NTMzNzczM0AwY2FhLmMxNS4xMF8uYzAyYSNtcm1sam9fXmlgLS1kMTZzcw%3D%3D&l=20220926190429010214029047143CF5E9&btag=80000,Foot⚽️,6913584827657733121,football.wirld,3203,51,2500000,143200,2500000,39
580,2022-09-26 19:04:31.775859+00,macron,7085040520422067462,Petite danse entre finalistes 🇫🇷🏆  #macron #emmanuelmacron #marine #lepen #election2022 #presidentielle2022 #president,8163,425500,5200000,109900,https://v16-webapp.tiktok.com/f61d0a4f7bcfdf61fe0a488a352cdffc/633205db/video/tos/useast2a/tos-useast2a-ve-0068c001/c564973febdc495f8fc204e061c4a275/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3512&bt=1756&cs=0&ds=3&ft=eXd.6H-qMyq8Z.dyEhe2NSSTyl7Gb&mime_type=video_mp4&qs=0&rc=OGZlZTY3ZWUzZDY5OjtkZUBpM2p2MzM6Zm9rPDMzNzczM0A2Ml4yMGE0XjYxMzAyYF5iYSNuMzJjcjRvcDZgLS1kMTZzcw%3D%3D&l=20220926190431010214029034053F4D5E&btag=80000,The Masked Sisters,6778955919624848389,the_masked_sisterss,4465,238,3400000,158400,3400000,48
581,2022-09-26 19:04:32.932421+00,macron,6999908383943855365,Macron parle de kante 🇫🇷 #football#president#france#macron#fyp#tendance#viral#kante,1642,419000,3500000,5725,https://v16-webapp.tiktok.com/db685e191125d656765d0a14ee79120b/63320604/video/tos/maliva/tos-maliva-ve-0068c800-us/5ef0ca31c905416dbd0d831c37d674ff/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=520&bt=260&cs=0&ds=3&ft=eXd.6H-qMyq8ZNMyEhe2N1fwyl7Gb&mime_type=video_mp4&qs=0&rc=ZzZpZDU8ODQzMzs5NTc0ZkBpM2k4bzQ6ZndkNzMzNzczM0AvMi5iMC5fXzIxLy1gXy8vYSNkX2EucjQwamZgLS1kMTZzcw%3D%3D&l=20220926190432010192053130163D4600&btag=80000,🇵🇹,6992192216366531590,md95.2,8399,114,1400000,93500,1400000,247
582,2022-09-26 19:04:34.134531+00,macron,6984346357570014470,Youpi ! #humour #vaccin #macron #covid #pourtoi,6265,417700,5000000,28800,https://v16-webapp.tiktok.com/701b3f233c80dca30fde6df0c817a165/633205e5/video/tos/useast2a/tos-useast2a-pve-0068/8206d69606ea4cc9acaf770008578b59/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2516&bt=1258&cs=0&ds=3&ft=eXd.6H-qMyq8ZLMyEhe2Nuhoyl7Gb&mime_type=video_mp4&qs=0&rc=ZjZlMzc2NjVnODU6PDQ3NEBpank1dWU6ZnhwNjMzNzczM0BiYzYxY15hXmMxX2FgYWFiYSNoZGQzcjRnMGpgLS1kMTZzcw%3D%3D&l=20220926190433010192053130163D469B&btag=80000,lesfripouilles,6715302493175383046,lesfripouilles_,3363,85,26900000,1000000,26900000,200
583,2022-09-26 19:04:35.407406+00,macron,6990001727978130694,#news #macron #france,5775,826800,5200000,20200,https://v16-webapp.tiktok.com/2c66f70d6cb51d3ebabf2f7684f49a88/633205db/video/tos/useast2a/tos-useast2a-pve-0068/f0eb045709d54cd29d5640985c96f0ba/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2048&bt=1024&cs=0&ds=3&ft=eXd.6H-qMyq8ZaMyEhe2NlXwyl7Gb&mime_type=video_mp4&qs=0&rc=PDU6aGczOGloOztpOjgzNUBpamR0bTk6ZnNxNzMzNzczM0AvYTMxYi80Ni4xNi8wNjE0YSNqczAucjRvZi1gLS1kMTZzcw%3D%3D&l=20220926190434010190186159103C7771&btag=80000,The Global World News,6853721280971064321,theglobalworldnews,165,3,42700000,2500000,42700000,790
584,2022-09-26 19:04:36.524487+00,macron,7082299810006551814,Me faites pas flop svp 🙏🏻 #lepen #macron #lassalle #mynameis #viral #fypシ #pourtoi #trend #humour,3230,381200,4900000,21200,https://v16-webapp.tiktok.com/6d0978f39189b4ffc415970cfb2604e1/633205fd/video/tos/useast2a/tos-useast2a-ve-0068c004/0d8885da884b4ba9b1794dbc09eb12d6/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2142&bt=1071&cs=0&ds=3&ft=eXd.6H-qMyq8ZuMyEhe2NFceyl7Gb&mime_type=video_mp4&qs=0&rc=aGc1OWYzZGlnNzo6Mzk4O0BpM2k4NTg6ZnRwPDMzNzczM0AtLjE0NGEyXjQxY19jMDNjYSNkNGJtcjRnMDFgLS1kMTZzcw%3D%3D&l=20220926190436010192053130163D47E8&btag=80000,AllanPasRiche,6939088658980930565,allanpasriche,572,10,2800000,70900,2800000,117
585,2022-09-26 19:04:37.626637+00,macron,7068264918562213126,"""Nous répondrons sans faiblesse"" - Emmanuel #Macron s'exprime sur la guerre en #Ukraine. #Russie #konbini #infos",23800,375000,4800000,28700,https://v16-webapp.tiktok.com/205684fc91e5acfb2aa37479c88e72d9/633205f0/video/tos/useast2a/tos-useast2a-ve-0068c004/c5bfbe83383d40399668cdb5bda36cb8/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=806&bt=403&cs=0&ds=3&ft=eXd.6H-qMyq8ZdMyEhe2NQ5eyl7Gb&mime_type=video_mp4&qs=0&rc=PGg0MzY4OWc3Zjs2OmU4ZkBpM3FubTw6ZnhyOzMzNzczM0AwY18tNjE1NTMxMTQ1NDMtYSMwNnAzcjRfXl9gLS1kMTZzcw%3D%3D&l=20220926190437010214029042083D4738&btag=80000,Konbini,6610338608964091909,konbini,639,76,30500000,1200000,30500000,1836
